type,start,end
prediction,1.062,1.095
prediction,1.945,1.987
prediction,2.761,2.799
prediction,3.578,3.611
prediction,4.448,4.494
prediction,7.950,7.988
prediction,8.663,8.708
prediction,9.508,9.545
prediction,10.299,10.333
prediction,11.011,11.041
prediction,11.728,11.769
prediction,12.444,12.486
prediction,13.127,13.160
prediction,13.756,13.806
prediction,14.626,14.664
prediction,15.330,15.372
prediction,16.084,16.121
prediction,16.717,16.754
prediction,17.433,17.471
prediction,18.158,18.191
prediction,21.694,21.731
prediction,22.573,22.610
prediction,23.255,23.289
prediction,23.997,24.038
prediction,24.751,24.792
prediction,25.425,25.467
prediction,26.108,26.146
prediction,26.795,26.841
prediction,27.474,27.512
prediction,30.785,30.835
delay,0.821,0.905
delay,1.554,1.633
delay,2.233,2.308
delay,2.941,3.024
delay,3.657,3.737
delay,9.317,9.392
delay,10.004,10.088
delay,10.579,10.654
delay,11.187,11.266
delay,11.758,11.833
delay,14.677,14.760
delay,15.556,15.635
delay,16.180,16.264
delay,16.768,16.843
delay,17.384,17.467
delay,18.009,18.084
delay,19.504,19.587
delay,20.162,20.241
delay,20.837,20.916
delay,21.532,21.615
delay,24.085,24.172
delay,24.672,24.760
delay,25.243,25.326
delay,25.797,25.884
delay,26.346,26.426
delay,26.938,27.017
delay,27.546,27.621
delay,28.141,28.225
delay,28.804,28.883
delay,29.637,29.707
cameraonly,4.373,4.477
cameraonly,6.076,6.180
cameraonly,8.092,8.204
cameraonly,9.279,9.404
cameraonly,11.644,11.774
cameraonly,12.490,12.607
cameraonly,13.406,13.502
cameraonly,14.360,14.476
cameraonly,15.309,15.438
cameraonly,16.238,16.330
cameraonly,17.462,17.567
cameraonly,18.054,18.179
cameraonly,18.776,18.878
cameraonly,19.345,19.470
cameraonly,20.003,20.107
cameraonly,20.836,20.940
cameraonly,21.648,21.773
cameraonly,22.806,22.939
cameraonly,23.505,23.643
cameraonly,25.434,25.529
cameraonly,26.112,26.237
cameraonly,26.795,26.912
cameraonly,27.537,27.645
cameraonly,29.032,29.136
cameraonly,29.748,29.869
cameraonly,30.539,30.635
cameraonly,32.272,32.397
cameraonly,33.496,33.600
cameraonly,34.117,34.238
cameraonly,34.796,34.904
